cod_munic,ano,cod_uf,nome_uf,pib,state.x,popdens,poprural,prefeito,govpt,poptot.y,ruralpc,hdi.2010.100,hdi.2000.100,pref.pt,organ,op,esq
2105302,2005,21,Maranhão,1280878.69,9,174.60794,12431,PMDB,0,239036,0.05200472,7.31,7.22,0,209,0,0.019047619047619
2105302,2009,21,Maranhão,2000734.56,9,179.5568548,12861.4,PSDB,0,245811,0.05232231,7.31,7.22,0,353,0,0.014492753623188
2111201,2005,21,Maranhão,262444.02,9,348.1593631,102736,PFL,0,135215,0.7597973,7.08,7,0,60,0,0.791666666666667
2111201,2009,21,Maranhão,473406.97,9,405.4859915,120813.6,DEM,0,157479,0.7671728,7.08,7,0,88,0,0
2111300,2005,21,Maranhão,10084981.62,9,1128.952964,44383.5,PDT,0,942433,0.04709459,7.68,7.78,0,947,1,0.411570247933884
2111300,2009,21,Maranhão,15337346.52,9,1198.339692,53935.1,PSDB,0,1000356,0.05391591,7.68,7.78,0,1108,1,0.434974747474747
2112209,2005,21,Maranhão,396789.13,9,80.79745666,18480,PMDB,0,142576,0.1296151,6.49,6.55,0,135,1,0.241379310344828
2112209,2009,21,Maranhão,715426.64,9,86.63840735,19963.2,PMDB,0,152883,0.1305783,6.49,6.55,0,223,0,0.724137931034483
2207702,2005,22,Piauí,496968.24,16,319.106097,7756,PTB,1,138994,0.05580097,6.87,6.74,0,186,0,0.342857142857143
2207702,2009,22,Piauí,757988.74,16,331.4323891,8125.6,PTB,1,144363,0.05628589,6.87,6.74,0,186,1,0.382571732199787
2211001,2005,22,Piauí,5242875.14,16,549.4291948,42272.5,PSDB,1,764795,0.05527298,7.51,7.66,0,833,1,0.252904378909741
2211001,2009,22,Piauí,8700461.43,16,577.8405021,45778.5,PSDB,1,804343,0.05691415,7.51,7.66,0,892,1,0.231145935357493
2303709,2005,23,Ceará,1149555.18,6,234.3985296,29802,PMDB,0,287960,0.1034935,6.82,7.21,0,148,1,0.5
2303709,2009,23,Ceará,2192431.07,6,258.8062248,34130.8,PRB,0,317945,0.1073481,6.82,7.21,0,164,0,0.501965923984273
2304202,2005,23,Ceará,471974.21,6,96.08174305,20619,PSDB,0,113037,0.1824093,7.13,7.16,0,180,0,0.058333333333333
2304202,2009,23,Ceará,726944.06,6,101.7878105,20531,PSDB,0,119750,0.1714489,7.13,7.16,0,214,1,0.401606425702811
2304400,2005,23,Ceará,20060098.99,6,7293.030197,0,PT,0,2296794,0,7.54,7.86,1,2347,1,0.318258903335218
2304400,2009,23,Ceará,31789186.07,6,7687.76236,0,PT,0,2421107,0,7.54,7.86,1,2739,1,0.331969309462916
2306405,2005,23,Ceará,334951.96,6,65.18378921,47521,PSDB,0,105217,0.4516475,6.4,6.59,0,283,0,0.793594306049822
